Player,Tm,Pos,Salary,WS_actual,VORP,PER,BPM,ValueIndex,$/WS_calc,PPG,RPG,APG,DWS,DBPM
raijon elimimian,Barons,SG,1750000,0.2,0.0,15.5,-1.2,0.1142857142857143,8750000.0,3.0,0.5,0.3,0.2,-1.1
jade hands,Stonecutters,PF,1750000,0.1,0.1,19.3,8.0,0.1142857142857143,17500000.0,10.0,20.0,3.0,0.1,3.5
donte black,Devils,C,1750000,0.2,0.0,11.7,-2.3,0.1142857142857143,8750000.0,1.5,1.9,0.1,0.1,0.5
lukáš vintr,Stars,SF,25000000,1.8,1.0,15.7,1.2,0.11199999999999999,13888888.888888888,9.8,2.1,2.5,1.0,0.5
johari whitaker,Stonecutters,SG,35000000,2.8,1.1,15.4,0.3,0.11142857142857143,12500000.0,12.2,3.5,1.9,1.6,0.3
landon battier,Drones,C/PF,15750000,1.8,-0.1,18.2,-2.3,0.10793650793650793,8750000.0,15.9,8.6,2.3,2.1,3.1
rudi loggins,Mustangs,PF,2850000,0.9,-0.6,14.0,-4.1,0.10526315789473685,3166666.6666666665,6.9,2.4,0.5,1.2,0.3
adonis walters,Calaveras,SF,33700000,2.3,1.2,17.9,0.6,0.10385756676557863,14652173.913043479,13.0,3.8,3.9,0.4,1.0
trajan jessen,Drones,PF,4000000,0.4,0.0,15.8,-1.4,0.1,10000000.0,4.3,2.8,1.1,0.1,0.4
john-michael tonella,Blizzards,SF,3250000,0.2,0.1,11.8,-1.0,0.09230769230769233,16250000.0,4.1,1.5,1.8,0.1,-0.2
luke venizelos,Colonels,SF,13000000,0.9,0.3,14.7,-1.3,0.0923076923076923,14444444.444444444,10.7,3.2,1.9,1.2,0.6
leandre kokal,Jaguars,C/PF,5500000,0.5,0.0,10.5,-2.1,0.09090909090909091,11000000.0,1.4,2.3,0.4,0.4,0.6
kahlil justice,Jailbirds,SG,6250000,1.3,-0.8,16.0,-3.3,0.08,4807692.307692308,20.6,3.0,3.7,1.7,0.3
deshaunt jordan,Colonels,PG,5000000,0.6,-0.2,13.9,-4.4,0.07999999999999999,8333333.333333334,4.3,1.0,3.6,0.0,-5.1
aquan baxter-bell,Colonels,SG,6500000,0.5,0.0,14.0,-1.5,0.07692307692307693,13000000.0,1.7,0.8,0.8,0.3,0.1
orlando richardson-heath,Blizzards,PF,2750000,0.2,0.0,12.9,-3.8,0.07272727272727274,13750000.0,1.8,1.4,0.2,0.0,-2.6
brandon arenas,Colonels,SG,5500000,1.0,-0.6,17.6,-2.9,0.07272727272727274,5500000.0,23.6,4.2,3.6,0.9,0.5
quantez franklin,Dragons,SG,5950000,0.2,0.2,14.9,-1.7,0.06722689075630252,29750000.0,18.3,2.8,4.0,0.2,-0.4
gabe vaka,Wolves,SG/SF,12000500,0.9,-0.1,13.1,-2.2,0.0666638890046248,13333888.888888888,14.3,5.3,3.3,1.0,0.6
gage woodward,Dragons,SG,15000000,0.4,0.5,17.3,0.5,0.060000000000000005,37500000.0,11.5,2.4,2.6,0.3,0.2
anfernee cummings,Giants,PG,3400000,0.3,-0.1,7.6,-2.5,0.058823529411764705,11333333.333333334,3.1,1.2,2.1,0.9,-2.3
merlin rooks,Jailbirds,PG,1750000,0.1,0.0,14.1,0.3,0.05714285714285715,17500000.0,5.0,0.7,2.3,0.0,-3.1
tana guevara,Mustangs,C,1750000,0.1,0.0,7.8,-1.3,0.05714285714285715,17500000.0,0.4,0.5,0.1,0.1,-0.9
eckhard schneiders,Predators,PF/C,1750000,0.1,0.0,8.2,-7.0,0.05714285714285715,17500000.0,0.8,1.2,0.0,0.1,-4.4
martynas rutkauskas,Drones,SG,3550000,0.5,-0.3,15.9,-2.6,0.05633802816901409,7100000.0,18.0,3.3,3.8,1.1,0.3
jameer morrow,Kings,SG/SF,2050000,0.1,0.0,14.3,-0.7,0.04878048780487806,20500000.0,4.7,1.0,1.8,0.1,-2.5
brayden burgess,Blizzards,SG,2150000,0.1,0.0,16.4,0.3,0.04651162790697675,21500000.0,2.9,0.4,0.7,0.0,-1.3
dylan shenton,Devils,SG,2650000,0.1,0.0,24.1,-1.1,0.03773584905660378,26500000.0,2.7,0.3,1.7,0.0,-3.2
evan demery,Colonels,PF,21500000,0.8,0.0,12.3,-2.0,0.037209302325581395,26875000.0,9.0,4.0,0.9,1.4,0.7
kaan korkmaz,Vultures,SF,3850000,0.2,-0.1,11.8,-2.7,0.025974025974025976,19250000.0,6.1,1.5,1.8,0.4,-1.4
rolando torres,Bullets,SF,5250000,0.1,-0.1,10.7,-3.1,0.0,52500000.0,4.1,1.3,0.9,0.4,-1.4
rick callison,Giants,SG/PG,1750000,0.0,0.0,3.0,-6.8,0.0,,4.0,1.0,2.0,0.0,-2.4
duran hamdy,Saints,PF,1750000,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
deniz karaman,Barons,SG/SF,1750000,0.0,0.0,9.4,-0.4,0.0,,12.0,5.0,4.0,0.0,0.5
rocket moor,Pilots,PG,1750000,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
kostis katiakos,Saints,PG,1750000,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
triston dantley,Devils,C/PF,4450000,1.8,-1.8,16.6,-5.2,0.0,2472222.222222222,16.5,9.2,1.1,2.6,3.3
thiago andrade,Tritons,SG,2250000,0.0,0.0,9.9,-3.8,0.0,,0.8,0.1,0.2,0.0,-4.2
detric akenten,Renegades,PF,3750000,0.0,0.0,-8.8,-14.3,0.0,,0.0,0.0,0.0,0.0,-6.8
omari crooks,Jailbirds,C,1750000,0.1,-0.1,7.8,-3.1,0.0,17500000.0,2.2,1.3,0.3,0.2,-1.1
uzoma bonsu,Wolves,C,5800000,1.9,-2.1,12.8,-5.2,-0.03448275862068969,3052631.5789473685,13.0,8.2,1.4,1.3,1.1
aleksei zarva,Barons,PF/C,1950000,0.1,-0.2,8.7,-5.1,-0.05128205128205129,19500000.0,2.2,2.8,0.2,0.4,-0.5
fabio tinto,Pilots,SG,1850000,0.0,-0.1,9.4,-4.0,-0.05405405405405406,,2.4,0.7,1.6,0.1,-2.8
gregor zorko,Jaguars,SG,1750000,0.0,-0.1,9.2,-3.7,-0.05714285714285715,,4.1,1.8,1.3,0.2,-2.3
sheriff moehring,Dragons,PG,1750000,-0.1,0.0,9.0,-5.6,-0.05714285714285715,-17500000.0,6.0,1.3,2.0,0.0,1.1
kahale north,Tritons,SG/SF,1750000,-0.1,0.0,2.9,-5.9,-0.05714285714285715,-17500000.0,2.7,1.3,1.7,0.0,-2.4
marcello ebinum,Cyclones,SG/SF,1750000,-0.1,0.0,11.1,-1.8,-0.05714285714285715,-17500000.0,4.6,2.3,1.5,0.2,-0.3
trevon king,Jaguars,SG/SF,5200000,0.0,-0.8,12.2,-3.3,-0.15384615384615385,,13.8,3.6,2.2,1.9,0.4
